name,category,density_g_cm3,yield_strength_mpa,tensile_strength_mpa,elastic_modulus_gpa,melting_point_c,max_service_temp_c,thermal_conductivity_w_mk,thermal_expansion_ppm_k,electrical_resistivity_ohm_m,corrosion_resistance,machinability,weldability,cost_usd_kg,hardness_hv,fatigue_strength_mpa,printable_3d,notes
Aluminum 1100,Aluminum Alloy,2.71,34,90,69,657,150,222,23.6,2.82e-8,Excellent,Excellent,Excellent,2.5,23,34,No,Pure aluminum; best corrosion resistance in Al family
Aluminum 2024-T3,Aluminum Alloy,2.78,345,483,73,502,120,121,23.2,3.44e-8,Fair,Good,Poor,4.2,120,138,No,High strength aerospace alloy; susceptible to corrosion
Aluminum 6061-T6,Aluminum Alloy,2.70,276,310,69,582,150,167,23.6,3.99e-8,Good,Excellent,Good,3.1,95,97,No,Most versatile aluminum alloy; good all-round properties
Aluminum 7075-T6,Aluminum Alloy,2.81,503,572,72,477,130,130,23.4,5.22e-8,Fair,Good,Poor,6.0,175,159,No,Highest strength aluminum alloy; aerospace use
Aluminum 5052-H32,Aluminum Alloy,2.68,193,228,70,607,150,138,23.8,4.99e-8,Excellent,Good,Good,3.3,60,117,No,Marine grade; excellent fatigue and corrosion resistance
Aluminum 3003-H14,Aluminum Alloy,2.73,145,152,69,643,150,163,23.2,3.45e-8,Excellent,Excellent,Good,2.8,40,55,No,General purpose; cookware and chemical equipment
AISI 1020 Steel,Carbon Steel,7.87,210,380,200,1515,400,51.9,11.7,1.59e-7,Poor,Excellent,Excellent,0.7,120,200,No,Low carbon steel; cheap and easy to machine
AISI 1045 Steel,Carbon Steel,7.85,310,565,200,1490,450,49.8,11.2,1.72e-7,Poor,Good,Good,0.9,170,255,No,Medium carbon steel; gears and shafts
AISI 4130 Steel,Alloy Steel,7.85,360,560,205,1460,450,42.7,11.2,2.23e-7,Fair,Good,Good,1.8,197,300,No,Chromoly steel; aircraft and motorsport
AISI 4340 Steel,Alloy Steel,7.85,470,745,205,1427,450,44.5,12.3,2.48e-7,Fair,Good,Fair,2.1,217,380,No,High-strength alloy steel; aircraft landing gear
AISI 316L Stainless,Stainless Steel,8.00,170,485,193,1399,850,16.3,16.0,7.40e-7,Excellent,Good,Excellent,4.5,160,210,No,Medical and food grade; best corrosion resistance
AISI 304 Stainless,Stainless Steel,8.00,215,505,193,1400,850,16.2,17.2,7.20e-7,Excellent,Good,Good,3.5,155,220,No,Most common stainless steel; kitchen and architecture
AISI 17-4 PH,Stainless Steel,7.78,1170,1310,197,1404,480,18.4,10.8,8.00e-7,Excellent,Good,Good,8.0,380,550,No,Precipitation hardened; aerospace and oil/gas
AISI 420 Stainless,Stainless Steel,7.73,415,655,200,1450,400,24.9,10.2,5.50e-7,Good,Good,Poor,3.2,200,280,No,Cutlery grade stainless; hardenable
Ti-6Al-4V (Grade 5),Titanium Alloy,4.43,880,950,114,1660,315,6.7,8.6,1.78e-6,Excellent,Poor,Fair,45.0,310,510,No,Aerospace titanium; excellent strength-to-weight
Ti Grade 2,Titanium Alloy,4.51,275,345,105,1665,250,21.9,8.6,5.60e-7,Excellent,Fair,Good,30.0,145,200,No,Commercially pure titanium; chemical processing
Ti-3Al-2.5V,Titanium Alloy,4.48,483,620,107,1650,290,8.1,8.5,1.65e-6,Excellent,Poor,Fair,38.0,200,320,No,Aircraft hydraulic tubing
Inconel 625,Nickel Superalloy,8.44,490,930,208,1350,982,9.8,12.8,1.29e-6,Excellent,Poor,Excellent,55.0,265,520,No,Seawater and high-temp corrosion resistant
Inconel 718,Nickel Superalloy,8.19,1100,1375,200,1336,650,11.4,13.0,1.22e-6,Excellent,Poor,Good,65.0,430,620,No,Jet engine components; excellent high-temp strength
